,ID,Gender,Age,Handness,Race,Education,Language,Scan,Interval,Training,Face,People,Place,Activity,B75_Span,B75_L,B75_R,B90_Span,B90_L,B90_R,B95_Span,B95_L,B95_R,Distinc_Test,A1,Mem_s
2992,30,-1,58,1,-1,12,0,1,9,1,1,1,27,7,0.071057192,0.695121951,0.304878049,0.059377263,0.695121951,0.304878049,0.24732334,0.534632035,0.465367965,0.373989876,0,0.4
2993,30,-1,58,1,-1,12,0,1,9,-1,0,0,0,0,0.012131716,0.285714286,0.714285714,0.034033309,0.170212766,0.829787234,0.031049251,0.172413793,0.827586207,0.821404447,0,0.3
2994,30,-1,58,1,-1,12,0,1,10,1,0,0,39,22,0.003466205,0.5,0.5,0.002896452,0.5,0.5,0.002141328,0.5,0.5,0.409566495,0,0.4
2995,30,-1,58,1,-1,12,0,1,8,-1,0,1,17,9,0.044194107,0.745098039,0.254901961,0.036929761,0.745098039,0.254901961,0.206102784,0.532467532,0.467532468,0.37074995,2,0.6
2996,30,-1,58,1,-1,12,0,1,13,1,1,1,27,0,0.006065858,0.571428571,0.428571429,0.034033309,0.936170213,0.063829787,0.321734475,0.930116473,0.069883527,0.554995904,2,0.9
2997,30,-1,58,1,-1,12,0,1,5,-1,0,1,16,0,0.004332756,0.8,0.2,0.015930485,0.181818182,0.818181818,0.149892934,0.228571429,0.771428571,0.416005458,0,0.3
2998,30,-1,58,1,-1,12,0,1,11,1,0,0,27,0,0.009532062,0.727272727,0.272727273,0.055756698,0.753246753,0.246753247,0.04496788,0.773809524,0.226190476,0.405427933,0,0.4
2999,30,-1,58,1,-1,12,0,1,5,-1,1,1,0,0,0.012131716,0.571428571,0.428571429,0.015930485,0.590909091,0.409090909,0.149892934,0.260714286,0.739285714,0.426080647,0,0.4
3000,30,-1,58,1,-1,12,0,1,14,1,0,1,38,29,0.030329289,0.971428571,0.028571429,0.30557567,0.623222749,0.376777251,0.225910064,0.623222749,0.376777251,0.433387931,1,0
3001,30,-1,58,1,-1,12,0,1,9,1,1,1,0,7,0.003466205,0.5,0.5,0.037653874,0.365384615,0.634615385,0.24732334,0.112554113,0.887445887,0.394155006,2,0.7
3002,30,-1,58,1,-1,12,0,1,15,1,1,1,0,0,0.006932409,0.25,0.75,0.055756698,0.25974026,0.74025974,0.21627409,0.797029703,0.202970297,0.384765737,0,0.4
3003,30,-1,58,1,-1,12,0,1,17,-1,1,1,39,22,0.004332756,0.2,0.8,0.003620565,0.2,0.8,0.030513919,0.929824561,0.070175439,0.376353744,0,0.5
3004,30,-1,58,1,-1,12,0,1,8,-1,1,1,23,0,0.011265165,0.769230769,0.230769231,0.116582187,0.726708075,0.273291925,0.206102784,0.885714286,0.114285714,0.707944692,1,0
3005,30,-1,58,1,-1,12,0,1,6,-1,0,1,23,0,0.016464471,0.578947368,0.421052632,0.013758146,0.578947368,0.421052632,0.38490364,0.331015299,0.668984701,0.368341461,2,0.7
3006,30,-1,58,1,-1,12,0,1,13,1,1,1,27,0,0.039861352,0.565217391,0.434782609,0.281679942,0.59125964,0.40874036,0.321734475,0.55906822,0.44093178,0.478051096,0,0.4
3007,30,-1,58,1,-1,12,0,1,15,1,1,1,0,0,0.002599653,0,1,0.018826937,0,1,0.21627409,0.611386139,0.388613861,0.375638579,2,0.8
3008,30,-1,58,1,-1,12,0,1,7,-1,1,1,36,0,0.126516464,0.95890411,0.04109589,0.302679218,0.660287081,0.339712919,0.28372591,0.626415094,0.373584906,0.373204308,2,0.8
3009,30,-1,58,1,-1,12,0,1,7,-1,0,1,27,0,0.004332756,0.8,0.2,0.014482259,0.2,0.8,0.012312634,0.173913043,0.826086957,0.357660169,2,0.7
3010,30,-1,58,1,-1,12,0,1,8,-1,0,0,38,29,0.009532062,0.636363636,0.363636364,0.116582187,0.068322981,0.931677019,0.206102784,0.028571429,0.971428571,0.478041503,1,0
