,ID,Gender,Age,Handness,Race,Education,Language,Scan,Interval,Training,Face,People,Place,Activity,B75_Span,B75_L,B75_R,B90_Span,B90_L,B90_R,B95_Span,B95_L,B95_R,Distinc_Test,A1,Mem_s
56,16,1,71,1,1,12,-1,1,17,-1,0,1,43,0,0.009532062,0.727272727,0.272727273,0.128892107,0.258426966,0.741573034,0.102248394,0.240837696,0.759162304,0.355571715,1,0.1
57,16,1,71,1,1,12,-1,1,21,1,1,1,11,18,0.003466205,0.75,0.25,0.002896452,0.75,0.25,0.020877944,0.974358974,0.025641026,0.496690229,2,0.7
58,16,1,71,1,1,12,-1,1,23,1,1,1,0,0,0.004332756,0.6,0.4,0.008689356,0.25,0.75,0.13490364,0.757936508,0.242063492,0.440125425,0,0.2
59,16,1,71,1,1,12,-1,1,26,-1,1,1,5,26,0.019064125,0.818181818,0.181818182,0.115133961,0.886792453,0.113207547,0.156316916,0.482876712,0.517123288,0.415074446,0,0.4
60,16,1,71,1,1,12,-1,1,17,-1,1,1,23,7,0.021663778,0.6,0.4,0.128892107,0.359550562,0.640449438,0.102248394,0.335078534,0.664921466,0.339547424,0,0.3
61,16,1,71,1,1,12,-1,1,23,1,1,1,13,0,0.010398614,0.416666667,0.583333333,0.067342505,0.494623656,0.505376344,0.13490364,0.666666667,0.333333333,0.374875877,1,0.1
62,16,1,71,1,1,12,-1,1,17,-1,1,1,22,7,0.021663778,0.16,0.84,0.128892107,0.297752809,0.702247191,0.102248394,0.277486911,0.722513089,0.359695988,0,0.3
63,16,1,71,1,1,12,-1,1,24,1,1,1,0,0,0.280762565,0.089506173,0.910493827,0.275162925,0.15,0.85,0.203426124,0.15,0.85,0.403344332,0,0.3
64,16,1,71,1,1,12,-1,1,18,1,1,1,0,26,0.079722704,0.010869565,0.989130435,0.111513396,0.194805195,0.805194805,0.168094218,0.111464968,0.888535032,0.360344549,2,0.8
65,16,1,71,1,1,12,-1,1,14,-1,0,0,0,28,0.009532062,0.454545455,0.545454545,0.010137581,0.571428571,0.428571429,0.076552463,0.055944056,0.944055944,0.437780433,1,0
66,16,1,71,1,1,12,-1,1,23,1,0,1,13,19,0.001733102,1,0,0.00724113,0.2,0.8,0.027837259,0.038461538,0.961538462,0.345156427,1,0.1
67,16,1,71,1,1,12,-1,1,17,-1,0,1,23,7,0.021663778,0.84,0.16,0.128892107,0.393258427,0.606741573,0.102248394,0.366492147,0.633507853,0.356437936,0,0.3
68,16,1,71,1,1,12,-1,1,21,1,0,0,38,29,0.006932409,0.75,0.25,0.014482259,0.3,0.7,0.016059957,0.2,0.8,0.411950996,1,0.1
