,ID,Gender,Age,Handness,Race,Education,Language,Scan,Interval,Training,Face,People,Place,Activity,Distinc_Test,Distinc_Encode40,Distinc_Encode60,Distinc_Encode70,A1,Mem_s
2989,30,-1,58,1,-1,12,0,1,5,-1,1,1,27,0,0.386634817,4.237875619,1.81793181,1.603325364,2,0.6
2990,30,-1,58,1,-1,12,0,1,12,1,0,1,0,0,0.416622006,3.25606257,1.67189603,1.295080201,2,0.6
2991,30,-1,58,1,-1,12,0,1,8,-1,1,1,22,29,0.434662514,3.964068857,1.939771036,1.473607908,0,0.4
2992,30,-1,58,1,-1,12,0,1,9,1,1,1,27,7,0.373989876,3.095610737,1.264634328,1.161649931,0,0.4
2993,30,-1,58,1,-1,12,0,1,9,-1,0,0,0,0,0.821404447,3.517542299,1.597836187,1.308787439,0,0.3
2994,30,-1,58,1,-1,12,0,1,10,1,0,0,39,22,0.409566495,2.404979261,2.114628269,2.082136697,0,0.4
2995,30,-1,58,1,-1,12,0,1,8,-1,0,1,17,9,0.37074995,2.652343288,1.225258309,0.998741762,2,0.6
2996,30,-1,58,1,-1,12,0,1,13,1,1,1,27,0,0.554995904,3.361750922,1.555537508,1.313718897,2,0.9
2997,30,-1,58,1,-1,12,0,1,5,-1,0,1,16,0,0.416005458,2.707037883,1.365592015,1.098239907,0,0.3
2998,30,-1,58,1,-1,12,0,1,11,1,0,0,27,0,0.405427933,2.803541306,1.603802615,1.211714763,0,0.4
2999,30,-1,58,1,-1,12,0,1,5,-1,1,1,0,0,0.426080647,2.416378962,1.065882776,0.814384533,0,0.4
3000,30,-1,58,1,-1,12,0,1,14,1,0,1,38,29,0.433387931,3.07817563,1.264409997,0.991551882,1,0
3001,30,-1,58,1,-1,12,0,1,9,1,1,1,0,7,0.394155006,4.269878392,1.550149863,1.117690605,2,0.7
3002,30,-1,58,1,-1,12,0,1,15,1,1,1,0,0,0.384765737,3.601423782,1.606009767,1.049940187,0,0.4
3003,30,-1,58,1,-1,12,0,1,17,-1,1,1,39,22,0.376353744,2.043279184,1.451588586,1.514054025,0,0.5
3004,30,-1,58,1,-1,12,0,1,8,-1,1,1,23,0,0.707944692,2.255517476,1.608854686,1.443764448,1,0
3005,30,-1,58,1,-1,12,0,1,6,-1,0,1,23,0,0.368341461,3.928771137,1.448617593,0.993942808,2,0.7
3006,30,-1,58,1,-1,12,0,1,13,1,1,1,27,0,0.478051096,3.665962348,1.814037669,1.078183398,0,0.4
3007,30,-1,58,1,-1,12,0,1,15,1,1,1,0,0,0.375638579,3.81420457,1.765488177,1.504535644,2,0.8
3008,30,-1,58,1,-1,12,0,1,7,-1,1,1,36,0,0.373204308,3.335859534,1.952188079,0.97038437,2,0.8
3009,30,-1,58,1,-1,12,0,1,7,-1,0,1,27,0,0.357660169,3.32001135,1.658832698,1.329358306,2,0.7
3010,30,-1,58,1,-1,12,0,1,8,-1,0,0,38,29,0.478041503,2.420207956,0.786001915,0.713618587,1,0
3011,30,-1,58,1,-1,12,0,1,12,1,1,1,0,7,0.408326745,3.276927763,2.367068195,1.622214842,0,0.5
3012,30,-1,58,1,-1,12,0,2,8,-1,0,0,0,0,0.494712683,2.109456453,1.31383969,1.360814582,0,0.2
3013,30,-1,58,1,-1,12,0,2,25,1,0,1,37,7,0.344124119,2.691822031,1.302124439,1.011652993,2,0.8
3014,30,-1,58,1,-1,12,0,2,19,-1,0,0,27,0,0.360304359,4.147588792,2.473931285,1.534393699,0,0.2
3015,30,-1,58,1,-1,12,0,2,24,1,0,1,10,0,0.343224794,4.571203209,2.239126659,1.71050166,0,0.3
3016,30,-1,58,1,-1,12,0,2,8,-1,1,1,15,26,0.377684122,1.855126667,1.356696512,1.183712716,2,0.8
3017,30,-1,58,1,-1,12,0,2,26,1,1,1,0,26,0.352109815,5.13081901,1.781536343,1.181544518,2,0.7
3018,30,-1,58,1,-1,12,0,2,11,-1,1,1,27,26,0.339236069,2.552643866,1.679001438,1.421493183,0,0.2
3019,30,-1,58,1,-1,12,0,2,21,1,1,1,31,0,0.347717792,2.522447442,0.872798425,0.547312579,2,0.8
3020,30,-1,58,1,-1,12,0,2,19,-1,1,1,0,26,0.47507739,4.000658351,1.908959347,1.205533495,2,0.7
3021,30,-1,58,1,-1,12,0,2,21,1,1,0,39,22,0.344870366,1.935290483,1.487665757,1.439239218,0,0.2
3022,30,-1,58,1,-1,12,0,2,20,-1,0,0,0,0,0.395863344,4.191713588,1.695089398,1.032062964,1,0
3023,30,-1,58,1,-1,12,0,2,21,1,0,1,0,0,0.43398482,3.002129491,0.979929534,0.578553021,2,0.8
3024,30,-1,58,1,-1,12,0,2,6,1,1,0,0,20,0.366666835,3.006716703,1.184885078,0.690968284,0,0.2
3025,30,-1,58,1,-1,12,0,2,8,-1,1,1,0,7,0.373088945,2.100128032,1.30259047,1.199145263,0,0.4
3026,30,-1,58,1,-1,12,0,2,22,-1,0,0,38,29,0.421274906,2.157450353,1.425162387,1.333972044,0,0.4
