,ID,Gender,Age,Handness,Race,Education,Language,Scan,Interval,Training,Face,People,Place,Activity,Distinc_Test,Distinc_Encode40,Distinc_Encode60,Distinc_Encode70,A1,Mem_s
86,16,1,71,1,1,12,-1,1,27,-1,0,1,27,20,0.340000835,2.509093579,1.86095105,1.392847297,0,0.3
87,16,1,71,1,1,12,-1,1,14,-1,1,1,22,0,0.375422386,3.3704886,1.435626707,0.922832084,2,0.8
88,16,1,71,1,1,12,-1,1,22,1,0,1,38,29,0.432227306,2.653810928,1.174455259,1.001625316,2,0.7
89,16,1,71,1,1,12,-1,1,14,-1,0,0,8,0,0.431938136,2.027023969,1.681693904,1.745225079,1,0.1
90,16,1,71,1,1,12,-1,1,21,1,1,1,11,0,0.343124105,3.114354912,1.397855523,1.003325514,2,0.8
91,16,1,71,1,1,12,-1,1,14,-1,1,1,11,0,0.370672405,3.579243442,1.166784476,0.640104965,2,0.8
92,16,1,71,1,1,12,-1,1,19,1,1,1,11,19,0.354174496,1.299624143,0.796926397,0.711351299,0,0.3
93,16,1,71,1,1,12,-1,1,16,-1,0,1,16,0,0.368821523,3.166998625,1.629175857,1.602062469,0,0.3
94,16,1,71,1,1,12,-1,1,22,1,0,1,30,29,0.439179548,3.586925908,1.404940852,0.934765567,0,0.2
95,16,1,71,1,1,12,-1,2,6,1,0,1,18,22,0.361508392,2.172746381,1.910876518,1.893613331,1,0
96,16,1,71,1,1,12,-1,2,10,-1,0,0,0,0,0.40059428,4.868374022,3.446953372,2.304080145,0,0.3
97,16,1,71,1,1,12,-1,2,13,-1,1,1,22,7,0.357198808,4.72219148,1.679990284,1.096872635,0,0.3
98,16,1,71,1,1,12,-1,2,14,1,0,0,38,29,0.372618865,1.627157021,1.314461062,1.378529057,0,0.2
99,16,1,71,1,1,12,-1,2,11,-1,0,1,27,0,0.343926365,2.812352797,1.747995815,1.355948146,0,0.3
100,16,1,71,1,1,12,-1,2,9,-1,1,1,23,0,0.360235223,3.46373053,1.453448272,1.160000376,1,0
101,16,1,71,1,1,12,-1,2,16,1,0,0,37,22,0.486566842,2.080281126,1.442650089,1.41381363,0,0.3
102,16,1,71,1,1,12,-1,2,11,-1,1,1,27,7,0.341449941,2.600648846,1.675955927,1.272710016,2,0.8
103,16,1,71,1,1,12,-1,2,19,1,1,1,27,0,0.335219592,3.826920195,1.369693518,0.803635054,2,0.7
104,16,1,71,1,1,12,-1,2,7,1,1,1,11,0,0.36840032,4.456755073,1.215453693,0.965480182,0,0.5
105,16,1,71,1,1,12,-1,2,9,-1,0,1,38,29,0.381500464,2.064452642,1.757606901,1.814681253,0,0.3
106,16,1,71,1,1,12,-1,2,7,1,1,1,11,19,0.345348368,1.319129241,0.736332779,0.793262739,1,0
107,16,1,71,1,1,12,-1,2,13,-1,1,1,22,0,0.478462974,4.099466778,2.175682747,1.63091842,0,0.5
108,16,1,71,1,1,12,-1,2,13,-1,1,1,22,7,0.39276624,3.050718181,1.771732388,1.266541021,1,0.1
109,16,1,71,1,1,12,-1,2,14,1,1,1,38,29,0.434565206,2.428445393,1.180763565,0.863401897,0,0.2
110,16,1,71,1,1,12,-1,2,6,1,1,1,38,22,0.364862554,2.214871249,2.058482072,2.020630561,0,0.2
111,16,1,71,1,1,12,-1,2,13,-1,1,1,27,7,0.567247769,3.050718181,1.771732388,1.266541021,0,0.5
112,16,1,71,1,1,12,-1,2,9,-1,0,1,31,29,0.38104675,2.118021454,1.3016996,1.314667135,0,0.3
113,16,1,71,1,1,12,-1,2,18,1,1,1,23,0,0.358090119,3.15524366,1.30053424,0.842579192,2,0.8
114,16,1,71,1,1,12,-1,2,9,-1,1,1,23,26,0.337363715,3.166998625,1.243108972,1.037885819,2,0.9
115,16,1,71,1,1,12,-1,2,8,-1,1,1,11,0,0.386275356,1.023757874,0.68721148,0.707405626,0,0.4
116,16,1,71,1,1,12,-1,2,15,1,1,1,0,0,0.369979556,4.277505703,1.730388115,1.227935507,0,0.5
117,16,1,71,1,1,12,-1,2,6,1,0,1,38,29,0.40662736,2.43654918,1.649192892,1.59440747,2,0.8
118,16,1,71,1,1,12,-1,2,11,-1,0,1,27,0,0.375878113,3.505499977,1.849794822,1.637075973,0,0.4
119,16,1,71,1,1,12,-1,2,5,1,0,1,23,7,0.341717131,4.814306822,2.293422143,1.476852142,1,0
120,16,1,71,1,1,12,-1,2,13,-1,1,0,0,22,0.391955049,4.771381763,1.493245943,0.813281956,2,0.7
121,16,1,71,1,1,12,-1,2,7,1,1,1,11,18,0.362862981,1.342013482,0.850138575,0.687309751,0,0.5
122,16,1,71,1,1,12,-1,2,13,-1,1,1,31,26,0.359672984,1.845242779,1.597332313,1.636600958,0,0.2
123,16,1,71,1,1,12,-1,2,6,1,1,1,12,22,0.37103251,3.519819973,2.138317668,1.287003145,2,0.9
